,2024 RANK,2023 RANK,Institution Name,Country
21,21,34,University of Toronto,Canada
31,30,31,McGill University,Canada
35,34,47,University of British Columbia,Canada
111,111,110,University of Alberta,Canada
112,112,154,University of Waterloo,Canada
114,114,172,Western University,Canada
142,141,116,Université de Montréal ,Canada
182,182,242,University of Calgary,Canada
189,189,152,McMaster University,Canada
204,203,237,University of Ottawa,Canada
209,209,246,Queen's University at Kingston,Canada
298,298,308,Dalhousie University,Canada
319,318,328,Simon Fraser University,Canada
323,322,359,University of Victoria (UVic),Canada
347,345,473,University of Saskatchewan,Canada
354,353,456,York University,Canada
390,387,551-560,Concordia University,Canada
444,441,433,Université Laval,Canada
